,kupritz-26037-002
ENSG00000142611,11
ENSG00000284616,0
ENSG00000157911,200
ENSG00000260972,0
ENSG00000224340,16
ENSG00000229280,0
ENSG00000142655,588
ENSG00000232596,0
ENSG00000231510,0
ENSG00000149527,572
ENSG00000171621,232
ENSG00000272235,0
ENSG00000284694,0
ENSG00000224387,9
ENSG00000142583,0
ENSG00000284674,0
ENSG00000224338,0
ENSG00000287727,79
ENSG00000173614,105
ENSG00000215720,0
ENSG00000241326,0
ENSG00000233623,26
ENSG00000204624,30
ENSG00000142606,12
ENSG00000225931,152
ENSG00000171729,0
ENSG00000229393,22
ENSG00000287586,1
ENSG00000227169,0
ENSG00000283356,1
ENSG00000157916,2226
ENSG00000157881,1642
ENSG00000225387,0
ENSG00000048707,12097
ENSG00000225196,0
ENSG00000162444,1
ENSG00000279625,0
ENSG00000180758,284
ENSG00000184677,3211
ENSG00000285833,0
ENSG00000131697,487
ENSG00000280222,0
ENSG00000285945,0
ENSG00000197921,22
ENSG00000284666,0
ENSG00000234397,1
ENSG00000204138,1560
ENSG00000233419,0
ENSG00000225011,0
ENSG00000284676,0
ENSG00000090020,1051
ENSG00000158006,777
ENSG00000196581,17
ENSG00000169403,37
ENSG00000171612,172
ENSG00000270927,0
ENSG00000188910,7
ENSG00000230523,0
ENSG00000233234,0
ENSG00000189337,20
ENSG00000028137,6221
ENSG00000283259,1
ENSG00000130939,2699
ENSG00000175147,2
ENSG00000127472,1
ENSG00000060656,10
ENSG00000230214,0
ENSG00000189280,8
ENSG00000134698,2259
ENSG00000272420,6
ENSG00000273274,1
ENSG00000236648,0
ENSG00000232273,41
ENSG00000130940,623
ENSG00000163879,70
ENSG00000227527,13
ENSG00000116954,851
ENSG00000163873,0
ENSG00000117215,0
ENSG00000230163,0
ENSG00000227538,0
ENSG00000044012,0
ENSG00000179051,4533
ENSG00000215895,19
ENSG00000126067,1699
ENSG00000274944,1
ENSG00000272078,92
ENSG00000230451,0
ENSG00000231606,6
ENSG00000254553,0
ENSG00000284653,0
ENSG00000237749,172
ENSG00000276747,6
ENSG00000228776,0
ENSG00000159339,55
ENSG00000261781,0
ENSG00000158315,10
ENSG00000186973,0
ENSG00000146463,2911
ENSG00000142686,327
ENSG00000224751,46
ENSG00000117148,0
ENSG00000230585,87
ENSG00000117000,5830
ENSG00000284989,0
ENSG00000231630,0
ENSG00000092853,42
ENSG00000255811,8
ENSG00000134697,1150
ENSG00000187513,31
ENSG00000225671,33
ENSG00000116151,226
ENSG00000006555,549
ENSG00000236111,6
ENSG00000214114,474
ENSG00000116544,38
ENSG00000236723,18
ENSG00000232467,1
ENSG00000117016,266
ENSG00000163866,1596
ENSG00000237130,38
ENSG00000232335,0
ENSG00000232762,29
ENSG00000162384,1003
ENSG00000162391,0
ENSG00000117859,2602
ENSG00000162396,301
ENSG00000284686,0
ENSG00000162378,2792
ENSG00000259818,25
ENSG00000234318,2
ENSG00000227485,0
ENSG00000236646,16
ENSG00000243725,166
ENSG00000171872,0
ENSG00000162407,3
ENSG00000163877,1543
ENSG00000228929,6208
ENSG00000224570,10
ENSG00000224980,0
ENSG00000278967,22
ENSG00000157184,712
ENSG00000198815,6240
ENSG00000134744,8142
ENSG00000233910,0
ENSG00000287703,0
ENSG00000283039,0
ENSG00000229294,14
ENSG00000236973,18
ENSG00000277397,0
ENSG00000162385,847
ENSG00000275350,0
ENSG00000123080,233
ENSG00000285778,0
ENSG00000233407,0
ENSG00000162598,1
ENSG00000280317,0
ENSG00000162415,282
ENSG00000162600,1747
ENSG00000116704,1979
ENSG00000157193,610
ENSG00000116205,1145
ENSG00000233994,269
ENSG00000227556,0
ENSG00000162607,4086
ENSG00000285954,6
ENSG00000233333,0
ENSG00000154027,1577
ENSG00000234108,0
ENSG00000232676,16
ENSG00000213579,0
ENSG00000137960,9
ENSG00000237852,7
ENSG00000132855,45
ENSG00000270549,2
ENSG00000237163,2
ENSG00000229636,0
ENSG00000116675,252
ENSG00000162433,534
ENSG00000213625,1432
ENSG00000233664,0
ENSG00000158966,321
ENSG00000213703,12
ENSG00000153898,834
ENSG00000117069,3
ENSG00000125703,641
ENSG00000234144,5
ENSG00000277670,0
ENSG00000227466,0
ENSG00000230498,65
ENSG00000162618,0
ENSG00000224493,0
ENSG00000131233,3
ENSG00000229225,0
ENSG00000225598,0
ENSG00000137941,57
ENSG00000286548,138
ENSG00000272094,1
ENSG00000228853,0
ENSG00000284895,0
ENSG00000117174,1545
ENSG00000184313,0
ENSG00000288543,3
ENSG00000122420,0
ENSG00000143013,627
ENSG00000226084,21037
ENSG00000134748,3404
ENSG00000142892,1723
ENSG00000229332,0
ENSG00000227937,0
ENSG00000229752,1
ENSG00000233216,1
ENSG00000197273,0
ENSG00000226804,0
ENSG00000230728,0
ENSG00000232846,11
ENSG00000230787,5
ENSG00000116641,991
ENSG00000172260,2
ENSG00000285473,0
ENSG00000234578,0
ENSG00000229505,0
ENSG00000228187,60
ENSG00000182183,823
ENSG00000236407,0
ENSG00000271949,0
ENSG00000227062,0
ENSG00000067334,2696
ENSG00000235011,0
ENSG00000213559,0
ENSG00000287587,0
ENSG00000232882,119
ENSG00000171502,25
ENSG00000116157,513
ENSG00000143036,13
ENSG00000065243,2398
ENSG00000226960,9
ENSG00000234080,1
ENSG00000285409,0
ENSG00000117528,1564
ENSG00000271723,0
ENSG00000036549,4182
ENSG00000225191,0
ENSG00000287870,1
ENSG00000232048,0
ENSG00000232857,1
ENSG00000273637,0
ENSG00000228838,15
ENSG00000283761,201
