,kupritz-26037-001,kupritz-26037-002,kupritz-26037-003,kupritz-26037-004,kupritz-26037-005,kupritz-26037-006,kupritz-26037-007,kupritz-26037-008,kupritz-26037-009,kupritz-26037-010,kupritz-26037-011,kupritz-26037-012
ENSG00000142611,1,11,0,5,13,3,1,1,0,1,6,3
ENSG00000284616,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000157911,237,200,350,291,217,252,306,269,185,173,244,134
ENSG00000260972,0,0,0,0,0,0,0,0,3,0,0,0
ENSG00000224340,13,16,4,25,12,15,16,24,10,10,5,10
ENSG00000229280,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000142655,599,588,652,558,550,642,791,587,604,539,655,419
ENSG00000232596,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000149527,532,572,374,505,614,774,502,564,492,488,405,252
ENSG00000171621,219,232,198,240,228,229,359,233,311,204,113,88
ENSG00000272235,0,0,0,1,0,2,0,1,0,0,0,0
ENSG00000284694,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224387,22,9,8,11,16,17,7,15,12,13,16,12
ENSG00000142583,1,0,0,0,2,1,3,2,1,1,1,0
ENSG00000284674,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287727,101,79,54,90,128,136,130,112,93,104,70,24
ENSG00000173614,143,105,137,104,144,120,165,113,160,144,145,65
ENSG00000215720,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241326,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233623,28,26,12,22,39,42,30,25,36,31,19,7
ENSG00000204624,57,30,19,15,13,22,25,27,28,16,9,7
ENSG00000142606,1,12,2,3,3,9,4,3,4,8,6,6
ENSG00000225931,86,152,46,71,84,110,77,69,80,115,58,46
ENSG00000171729,0,0,1,0,0,0,0,0,0,0,1,0
ENSG00000229393,13,22,7,9,28,21,15,16,12,10,10,3
ENSG00000287586,0,1,0,0,6,6,0,5,0,0,0,1
ENSG00000227169,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283356,2,1,0,1,1,0,0,0,3,12,2,3
ENSG00000157916,2703,2226,3459,2763,2349,2105,3425,2678,2610,1868,2336,1505
ENSG00000157881,1510,1642,1403,1703,1655,1895,2023,1940,1347,1434,1474,1411
ENSG00000225387,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000048707,12110,12097,13683,12930,13884,13613,17326,14403,12539,11025,11841,6707
ENSG00000225196,2,0,2,1,4,8,9,0,1,1,2,0
ENSG00000162444,0,1,0,0,1,0,0,0,1,0,0,0
ENSG00000279625,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000180758,187,284,137,109,372,334,206,203,219,260,152,110
ENSG00000184677,3308,3211,3273,3327,3873,3734,4437,3692,3327,2991,3127,1916
ENSG00000285833,0,0,0,0,1,1,0,0,0,0,0,1
ENSG00000131697,439,487,465,414,288,290,366,295,343,283,357,134
ENSG00000280222,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285945,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000197921,12,22,20,25,2,1,25,15,11,2,10,4
ENSG00000284666,0,0,0,0,0,0,0,0,0,1,1,0
ENSG00000234397,0,1,0,0,0,0,0,1,0,0,0,0
ENSG00000204138,1979,1560,2047,1935,1683,1458,2695,1852,2312,1754,2259,1010
ENSG00000233419,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284676,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000090020,1616,1051,1528,1318,1081,1088,1989,1202,1325,847,1226,350
ENSG00000158006,975,777,994,1003,761,958,1122,963,739,810,716,768
ENSG00000196581,4,17,0,4,33,120,5,48,1,14,1,6
ENSG00000169403,46,37,33,52,130,136,191,158,36,42,68,26
ENSG00000171612,157,172,400,275,202,178,381,258,222,183,301,195
ENSG00000270927,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188910,9,7,7,6,13,13,4,12,14,28,19,11
ENSG00000230523,0,0,0,2,1,1,0,0,0,0,0,0
ENSG00000233234,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189337,14,20,11,14,29,23,23,10,20,10,19,21
ENSG00000028137,15465,6221,28981,16547,6581,4289,27839,9739,13942,3350,15824,1407
ENSG00000283259,0,1,0,0,0,0,0,0,0,3,2,1
